
;────────────
;汎用文字列変数
;────────────

;<※>       現在定義(代入)が行われていないフラグ
;!抹消予定! 抹消予定フラグ(主に後方互換のため存在)

;────────────────────────────────────
;調教指令名称(ACT) 通常行動0-199
;────────────────────────────────────

;-------------------------------------------------
;会話系
;-------------------------------------------------
0,今の気分を聞く
1,自分への気持ちを聞く
2,性についての話をする
3,優しく慰める
4,厳しく脅す
5,衣装の変更を要求する
6,合意を求める
7,お仕置きと宣言する
8,怒鳴る
9,不気味に笑う

;-------------------------------------------------
;愛撫系
;-------------------------------------------------
10,手で愛撫
11,胸愛撫
12,口で愛撫
13,アナル愛撫
14,アナル舐め
15,キス
16,性器を擦り合う
17,パイズリする
18,足コキする
19,指挿入れ

;-------------------------------------------------
;道具系
;-------------------------------------------------
20,ローター
21,バイブ
22,アナルバイブ
23,アナルビーズ
24,Ｃ愛撫道具
25,ニプルキャップ
26,ペニスバンド

;-------------------------------------------------
;愛撫系
;-------------------------------------------------
27,押し倒す

;-------------------------------------------------
;性交系
;-------------------------------------------------
30,正常位
31,後背位
32,騎乗位
33,対面座位
34,背面座位
35,アナルセックス

;-------------------------------------------------
;羞恥系
;-------------------------------------------------
40,自慰
41,秘貝開帳
42,自慰みせつけ
43,羞恥プレイ
44,野外プレイ
45,放尿
46,コスプレ

;-------------------------------------------------
;奉仕系
;-------------------------------------------------
50,手で愛撫を強制
51,口で愛撫を強制
52,パイズリ
53,素股
55,足舐め強制
56,イラマチオ
57,胸愛撫強制

;-------------------------------------------------
;加虐系
;-------------------------------------------------
60,スパンキング
61,鞭
62,針
63,縄
64,アイマスク
65,ボールギャグ
66,罵倒
67,三角木馬
68,浣腸セット

;-------------------------------------------------
;異常系
;-------------------------------------------------
70,フィストファック
71,アナルフィスト
72,両穴フィスト
73,放置プレイ
74,公衆肉便器プレイ
75,ペニスバンド装着

;-------------------------------------------------
;使役系（未実装）
;-------------------------------------------------
80,触手召喚

;-------------------------------------------------
;休憩系
;-------------------------------------------------
90,休ませる
91,栄養剤を飲ませる
92,治療する

;-------------------------------------------------
;性交奉仕系
;-------------------------------------------------
95,正常位させる
96,後背位させる
97,対面座位させる
98,背面座位させる
99,アナルセックスさせる
103,逆レイプ

;────────────────────────────────────
;調教指令名称(SPACT) 200-299
;────────────────────────────────────
200,パスウェイジョンニードル
201,八方鬼縛陣
202,狂気の瞳

;────────────────────────────────────
;調教指令名称(助手コンビ派生ACT)
;────────────────────────────────────
300,Ｗ手淫
301,Ｗフェラ
302,Ｗキス
303,Ｗ素股
304,Ｗパイズリ
305,Ｗ足コキ
306,騎乗二穴攻め
307,対面二穴攻め
308,変則乱れ牡丹
309,アナル二穴攻め
310,Ｗ逆レイプ
311,谷渡り
312,二本舐め強制

;────────────────────────────────────
;助手行動名称(助手ACT)　800-999
;────────────────────────────────────
801,口で愛撫
802,素股
803,パイズリする
804,足コキする
805,Ｃ道具
806,逆レイプ
807,手で愛撫

810,アナル愛撫
811,アナル舐め
812,アナルローター
813,アナルバイブ

820,胸愛撫
821,乳首舐め
822,乳首ローター

830,指挿入
831,バイブ
832,性交

840,キス
841,顔面騎乗
842,足を舐めさせる

850,自慰見せつけ
851,罵倒
852,写真撮影
853,調教者とキス
854,痴態を見つめる

860,頭を踏みつける

870,脱衣
871,薬品
872,待機

;────────────────────────────────────
;助手行動名称(助手SPACT)
;────────────────────────────────────
900,新聞の記事にする

;────────────────────────────────────
;1000～1100　<※>絶頂の表示に使う
;────────────────────────────────────

;────────────────────────────────────
;屈服実績(調教履歴) 1300-1427
;────────────────────────────────────
;文言変更＆コメント付加。新方式対応(調整)@revkoishi(14/05/28)
;書式：nX___STR1___STR2
;n…実績Lvを表す半角数字1字。Lv1～5はそれぞれ1/2/3/5/10ptに相当
;X…屈服実績が有効となる調教対象の性別を表す半角英大文字1字。
;   A=ALL(♂♀双)/M=MALE(♂)/F=FEMALE(♀)/T=TWIN(双)/P=PENIS(♂双)/V=VAGINA(♀双)/S=SINGLE(♂♀)
;STR1…調教履歴の文言(TARGET視点)
;STR2…取得時の表示文言(MASTER視点)
;------------------------------------------------------------------------
;   既存分                                                  Lv1( 0～11) 屈服ポイント+1
1300,1A___好意を抱かせた___心を許した,                      ;【屈服:0】好意的反応(調教対象が積極的従う系を選択)
1301,1A___裸に剥いた___裸に剥かれた,                        ;【屈服:1】裸に剥いた(MASTERの衣服がなくなる)(※靴下等は着衣に数えない)
1302,1P___勃起させた___勃起した,                            ;【屈服:2】勃起させた(勃起度1000突破)
1303,1A___\@ PENIS(MASTER) ? ペニス # クリトリス \@を感じさせた___快Ｃが1000以上,   ;【屈服:3】快Ｃを1000以上与えた
1304,1V___ヴァギナを感じさせた___快Ｖが1000以上,            ;【屈服:4】快Ｖを1000以上与えた
1305,1A___アヌスを感じさせた___快Ａが1000以上,              ;【屈服:5】快Ａを1000以上与えた コメント部分を快Ｂ→快Ａに修正@revkoishi(14/06/01)
1306,1A___胸を感じさせた___快Ｂが1000以上,                  ;【屈服:6】快Ｂを1000以上与えた コメント部分を快Ａ→快Ｂに修正@revkoishi(14/06/01)
1307,1A___威圧した___威圧された,                            ;【屈服:7】苦痛、恐怖(が発生)
1308,1A___鞭で痛めつけた___鞭で打たれた,                    ;【屈服:8】ムチで叩いた
1309,1A___アナル調教した___アナル調教を受けた,              ;【屈服:9】アナル調教(快A発生)
1310,1A___拘束した___拘束された,                            ;【屈服:10】拘束した
1311,1A___唇を奪った___唇を奪われた,                        ;【屈服:11】キス
;                                                           Lv2(12～33) 屈服ポイント+2
1312,2A___Ｃ絶頂させた___Ｃ絶頂した,                        ;【屈服:12】Ｃ絶頂
1313,2V___Ｖ絶頂させた___Ｖ絶頂した,                        ;【屈服:13】Ｖ絶頂
1314,2A___Ａ絶頂させた___Ａ絶頂した,                        ;【屈服:14】Ａ絶頂
1315,2A___Ｂ絶頂させた___Ｂ絶頂した,                        ;【屈服:15】Ｂ絶頂
1316,2A___屋外に連れ出した___屋外に連れ出された,            ;【屈服:16】野外プレイ
1317,2A___鏡の前で辱めた___鏡の前で辱められた,              ;【屈服:17】羞恥プレイ
1318,2A___放尿させた___放尿させられた,                      ;【屈服:18】放尿させた(調教対象が従う系を選択)
1319,2P___射精させた___射精した,                            ;【屈服:19】射精
1320,2P___大量射精させた___大量射精した,                    ;【屈服:20】大量射精
1321,2P___早漏射精させた___早漏射精した,                    ;【屈服:21】射精(早漏)
1322,2V___膣内射精した___膣内射精された,                    ;【屈服:22】膣内射精された
1323,2V___バイブを使った___膣に異物を挿入された,            ;【屈服:23】バイブ
1324,2A___Ａ道具で虐めた___アヌスに異物を挿入された,        ;【屈服:24】アナルバイブ、ビーズ
1325,2P___膣で搾り取った___膣で搾り取られた,                ;【屈服:25】膣内射精
1326,2A___自慰絶頂させた___自慰で絶頂した,                  ;【屈服:26】自慰絶頂
1327,2A___口内射精した___口内射精された,                    ;【屈服:27】口内射精された(フェラ/イラマ中に調教者が射精)
1328,2P___口で搾り取った___口で搾り取られた,                ;【屈服:28】口内射精(調教者フェラ中に射精)
1329,2A___積極的に奉仕させた___積極的に奉仕した,            ;【屈服:29】積極奉仕(奉仕系もしくは足舐め/イラマ中、積極的に従う)
1330,2A___セックスした___セックスした,                      ;【屈服:30】性交
1331,2A___セックスに夢中にさせた___夢中でセックスした,      ;【屈服:31】腰をふる(性交中積極的に従う)
1332,2A___自分に欲情させた___激しく欲情した,                ;【屈服:32】情欲(調教対象の状態が情欲)
1333,2A___焦らしプレイした___焦らされた,                    ;【屈服:33】焦らしプレイ
;                                                           Lv3(34～49) 屈服ポイント+3
1334,3A___拘束したまま絶頂させた___拘束されたまま絶頂した,  ;【屈服:34】拘束絶頂
1335,3A___浣腸した___浣腸を受けた,                          ;【屈服:35】浣腸
1336,3A___失禁させた___失禁した,                            ;【屈服:36】失禁
1337,3A___多重絶頂させた___多重絶頂した,                    ;【屈服:37】多重絶頂(複数箇所同時絶頂)
1338,3A___同時絶頂した___調教者と同時に絶頂した,            ;【屈服:38】同時絶頂(調教対象、調教者同時絶頂)
1339,3A___性交で同時絶頂した___性交で同時絶頂した,          ;【屈服:39】性交同時絶頂(性交中、挿入者射精時に被挿入者がA/V絶頂)
1340,3V___噴乳させた___噴乳した,                            ;【屈服:40】噴乳
1341,3P___アヌスで搾り取った___アヌスで搾り取られた,        ;【屈服:41】アナルへ射精
1342,3A___肛内射精した___肛内射精された,                    ;【屈服:42】アナルに射精される
1343,3P___抜かずの二戦目___抜かずの二発,                    ;【屈服:43】抜かずの二発(射精後挿入を中断せず射精)
1344,3P___空射精させた___空射精した,                        ;【屈服:44】空射精
1345,3P___前立腺射精させた___前立腺を責められ射精した,      ;【屈服:45】前立腺射精
1346,3A___アヌスに挿入した___アヌスを犯された,              ;【屈服:46】アナルセックス(受け)
1347,3A___アヌスに挿入させた___アヌスへ挿入させられた,      ;【屈服:47】アナルセックス(攻め)
1348,3A___お仕置きした___お仕置きを受けた,                  ;【屈服:48】お仕置き(お仕置き時、恐怖/苦痛が発生)
1349,3A___イかせてと言わせた___イかせてとねだった,          ;【屈服:49】イかせて！
;                                                           Lv4(50～56) 屈服ポイント+5
1350,4A___排泄させた___排泄の瞬間を見られた,                ;【屈服:50】排泄(浣腸器＋プラグ解除時)
1351,4A___公衆便所にした___公衆便所にされた,                ;【屈服:51】公衆便所(公衆肉便器プレイ受容時)
1352,4V___三角木馬に乗せた___三角木馬に乗せられた,          ;【屈服:52】三角木馬
