
;────────────
;調教中キャラクター別汎用フラグ
;────────────

;<※>       現在定義(代入)が行われていないフラグ
;!抹消予定! 抹消予定フラグ(主に後方互換のため存在)

;0 地の文スキップ（非公式）
0,地の文スキップ

;1-5 姿勢関連（@MASTER_POSEで初期化）
;姿勢(0=自由/1=仰向け/2=座る/3=四つん這い/4=起立/10=膝立ち)
1,姿勢
;MASTERとの位置関係前後軸(1=対面/2=MASTERの背後/3=MASTERが背後)
2,位置前後
;MASTERとの位置関係上下軸(1=正位/2=逆位)
3,位置上下

6,前回の姿勢,
7,前回の位置前後
8,前回の位置上下
;REACTによって追加の姿勢変化があった場合1に
9,REACT姿勢変化

;前回調教で射精した
11,前回射精

;<※>
12,∨挿入対象
13,被∨挿入者
14,Ａ挿入対象
15,被Ａ挿入者

20,イきそう
21,イきそう（止め）
22,我慢
23,イかせて挙動制御用
24,焦らし度
25,空射精数
26,今回の勃起
27,要強制勃起
28,勃起度
29,前の勃起度

30,前立腺刺激
31,前の潤滑

;(0=通常/1=疲弊/2=衰弱/3=無気力/4=朦朧/5=情欲/6=怒り/7=退屈/8=昂揚)
;	状態異常は3ターン持続する。主に実行可能行動が変動する
;	0=通常    変動なし
;	1=疲弊    消耗時    疲労のため消極的行動が優先 (肉体的・弱)
;	2=衰弱    強消耗時  疲労のため消極的行動が優先 (肉体的・強)
;	3=無気力  無気力時  倦怠のため消極的行動が優先 (精神的)
;	4=朦朧    強絶頂時  快感のため享楽的行動が優先
;	5=情欲    高欲情時  欲情のため肯定的行動が優先
;	6=怒り    強反発時  怒りのため否定的行動が優先
;	7=退屈    低刺激時  退屈のため否定的行動が優先
;	8=鬱屈    高抑圧時  抑圧のため積極的行動が優先 (過剰なストレスで暴走する)
40,状態変化
41,状態変化持続

50,処女喪失
51,童貞喪失
52,調教内処女喪失
53,調教内童貞喪失

;<※> 枠だけ設けた段階
60,満足ボーナス

;TFLAG:今回で大満足と同様
61,今回で大満足

;今日の満足ボーナス(0=いつもどおり/1=A開発/2=お仕置き/3=ハード/4=イチャイチャ/5=異常/6=野外/7=子作り/8=休憩/9=抱いて/10=ご奉仕)
62,今日の満足ボーナス

;-------------------------------------------------
;絶頂系:70~79　絶頂種の参照に用いられるもの
;-------------------------------------------------
70,Ｃ絶頂
71,Ｖ絶頂
72,Ａ絶頂
73,Ｂ絶頂

;(1=空噴乳/2=噴乳/3=大量噴乳)
74,噴乳

;(1=空射精/2=射精/3=大量射精/4=射精(早漏)/5=前立腺射精)
75,射精

76,放尿

;(1=潮吹き/2=大量潮吹き)
77,潮吹き

;(1=通常の空射精/2=前立腺刺激による空射精)
78,空射精

80,前回ターンＣ絶頂
81,前回ターンＶ絶頂
82,前回ターンＡ絶頂
83,前回ターンＢ絶頂
84,前回ターン噴乳
85,前回ターン射精
86,前回ターン放尿
87,前回ターン潮吹き
88,前回ターン空射精

90,射精後経過ターン参照
91,射精後経過ターン
92,膣内射精後経過ターン参照
93,膣内射精後経過ターン
94,腸内射精後経過ターン参照
95,腸内射精後経過ターン

;対象の次回ACT予約
100,行動予約
;調教者の勃起
131,勃起

;200- 助手のTCVAR
200,助手ACT
201,助手前ACT
202,助手ACT派生
203,助手方針
204,前回助手愛撫箇所
