
;────────────
;リアクション(COM)名
;────────────

;<※>       現在定義(代入)が行われていないフラグ
;!抹消予定! 抹消予定フラグ(主に後方互換のため存在)

;リアクションの後に実行可能の条件をまとめてみた

;-------------------------------------------------
;0番台,会話系反応
;-------------------------------------------------
0,沈黙する
1,気弱く応答する
2,無愛想に応答する
3,愛想よく応答する
4,強気に応答する
5,皮肉を言う
6,もっとハードにして
7,許しを乞う
8,気持ち良くして

;-------------------------------------------------
;10番台,快楽系反応;ＣＶＡＢのソースが入るときの反応
;-------------------------------------------------
10,恥ずかしがる
11,嫌がる
12,下手だと罵る
13,不敵に笑う
14,快感を我慢する
15,快感を受け入れる
16,気持ち良い！

;-------------------------------------------------
;20番台,セックス系反応
;-------------------------------------------------
20,腰を振る
21,中に出して！
22,中に出さないで！

;-------------------------------------------------
;30番台,苦痛系反応
;-------------------------------------------------
30,痛みを我慢する
31,悲鳴を上げる
32,暴れる
33,怯える

;-------------------------------------------------
;40番台,奉仕系反応
;-------------------------------------------------
40,拒否する
41,消極的やる
42,積極的やる
43,愛情を込めてやる
44,平然とやる

;-------------------------------------------------
;50番台以降,その他
;---------------------------------------
50,自慰し始める
51,道具を外す
52,なすがまま
70,イかせて！

