────────────
TFLAG
────────────
TFLAG:0  このアクション内で処女・童貞を喪失(1=処女/2=童貞/3=両方)
TFLAG:1  このアクション内で調教者が処女・童貞を喪失(1=処女/2=童貞/3=両方)


（ここから未使用・暫定的保留）
	TFLAG:9  セックス(Ａ)で射精
	TFLAG:10 セックス(Ｖ)で射精
	TFLAG:11 口で射精
	TFLAG:12 手で射精
	TFLAG:13 クンニで射精
	TFLAG:14 キスで射精
	TFLAG:15 素股で射精
	TFLAG:16 髪の毛で射精
	TFLAG:17 助手を犯すで射精
	TFLAG:18 逆レイプで射精
	TFLAG:19 足で射精

	TFLAG:20 腋で射精
	TFLAG:21 フェラで射精後(汚れを舐め取る?)
	TFLAG:29 胸で調教者が射精(舐めない)
（ここまで未使用・暫定的保留）

TFLAG:30 調教対象が射精
TFLAG:31 調教対象が噴乳
TFLAG:32 調教対象が放尿
TFLAG:35 主人が射精
TFLAG:36 主人が噴乳
TFLAG:37 触手(他)が射精

TFLAG:40 苦痛刻印
TFLAG:41 快楽刻印
TFLAG:42 屈服刻印
TFLAG:43 恐怖刻印
TFLAG:44 反発刻印

TFLAG:50 搾乳器つけたら過ぎたターン数。母乳体質取得のチェックとミルク売却の計算に使用
TFLAG;51 今回調教で写真を撮った回数をカウント

TFLAG:60 調教者の状態(0=通常/1=疲弊/2=衰弱/3=無気力/4=朦朧/5=情欲/6=怒り/7=退屈/8=狂気)
TFLAG:61 調教対象の状態(60と同じ)
TFLAG:62 調教者の消耗フラグ
TFLAG:63 調教対象の消耗フラグ
TFLAG:64 調教の経過時間
TFLAG:65 調教者が行動済みのフラグ
TFLAG:67 今回の調教で大満足ボーナスを取得した
TFLAG:68 お仕置きポイント
TFLAG:69 お仕置きフラグ

TFLAG:70 このターンの調教方針（1=休憩/2=ソフト/3=ノーマル/4=ハード/5=異常）
TFLAG:71 休憩のヒート値
TFLAG:72 ソフトプレイのヒート値
TFLAG:73 ノーマルプレイのヒート値
TFLAG:74 ハードプレイのヒート値
TFLAG:75 異常プレイのヒート値
TFLAG:76 前のターンの調教方針

TFLAG:79 前のターンの調教メニュー
TFLAG:80 このターンの調教メニュー(0=会話/1=愛撫/2=道具/3=性交/4=羞恥/5=奉仕/6=加虐/7=異常/8=使役/9=休憩)
TFLAG:81 会話のヒート値
TFLAG:82 愛撫のヒート値
TFLAG:83 道具のヒート値
TFLAG:84 性交のヒート値
TFLAG:85 羞恥のヒート値
TFLAG:86 奉仕のヒート値
TFLAG:87 加虐のヒート値
TFLAG:88 異常のヒート値
TFLAG:89 使役のヒート値

TFLAG:90 このターンの調教指令
TFLAG:91 前のターンの調教指令
TFLAG:92 このターンで実行可能の反応数。念のため０のとき｛ぼっとする｝の反応を可能にする
TFLAG:93 行動のパターン変化（装着道具の装備か解除かなどの記録）
TFLAG:94 調教対象の反応による影響（０＝なし、１＝消極的従う、２＝積極的従う、３＝許しを乞う、４＝暴れる、５＝要求に応じない/拒否）
TFLAG:95 このターンの好感度上昇をカウント
TFLAG:96 このターンの経験値追加をカウント
TFLAG:97 快楽による理性低下
TFLAG:98 苦痛による理性低下
TFLAG:99 パラメーター自然変動用カウンター

TFLAG:100 そんな話はしたフラグ（ビット演算。１＝好意、２＝知識、４＝慰め、８＝脅す、16＝合意、32＝嗤う、64＝罵倒。他の会話行動は何度行ってもいい）
TFLAG:101 PASS_ONE_TURNのフラグ。疲弊が貯めすぎて一回休み
TFLAG:102 強制脱衣のフラグ（－１＝脱衣失敗、１＝上半身上着、２＝下半身上着、３＝上＋下上着、４＝上半身全部、５＝下半身全部、６＝アクセサリー、７＝アクセサリ－まで、８＝全裸まで、９＝下着だけ）
TFLAG:103 自主脱衣のフラグ（１＝上半身上着、２＝下半身上着、３＝上＋下上着、４＝上半身全部、５＝下半身全部、６＝アクセサリー、７＝アクセサリ－まで、８＝全裸まで、９＝下着だけ）
TFLAG:104 媚薬・ローションを使用したフラグ（１＝媚薬使用、２＝ローション使用、３＝両方使った）
